Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.14,"0.650 (0.629, 0.707)","0.740 (0.736, 0.751)","0.536 (0.480, 0.618)","0.745 (0.742, 0.755)","0.045 (0.037, 0.065)",AlloSure
0.15,"0.650 (0.629, 0.707)","0.754 (0.750, 0.764)","0.536 (0.480, 0.588)","0.759 (0.756, 0.769)","0.048 (0.039, 0.066)",AlloSure
0.16,"0.650 (0.629, 0.707)","0.769 (0.765, 0.777)","0.536 (0.440, 0.559)","0.776 (0.772, 0.783)","0.050 (0.039, 0.066)",AlloSure
0.17,"0.650 (0.629, 0.707)","0.778 (0.775, 0.789)","0.518 (0.440, 0.559)","0.785 (0.783, 0.796)","0.051 (0.041, 0.070)",AlloSure
0.18,"0.650 (0.629, 0.707)","0.787 (0.786, 0.799)","0.500 (0.431, 0.529)","0.795 (0.793, 0.806)","0.052 (0.043, 0.070)",AlloSure
0.19,"0.650 (0.629, 0.707)","0.797 (0.796, 0.810)","0.482 (0.400, 0.529)","0.805 (0.805, 0.818)","0.052 (0.042, 0.074)",AlloSure
0.2,"0.650 (0.629, 0.707)","0.807 (0.805, 0.821)","0.482 (0.400, 0.529)","0.815 (0.813, 0.829)","0.056 (0.043, 0.078)",AlloSure
0.21,"0.650 (0.629, 0.707)","0.814 (0.814, 0.825)","0.446 (0.380, 0.500)","0.822 (0.822, 0.834)","0.054 (0.042, 0.077)",AlloSure
0.22,"0.650 (0.629, 0.707)","0.820 (0.820, 0.828)","0.429 (0.360, 0.485)","0.830 (0.829, 0.838)","0.054 (0.043, 0.076)",AlloSure
0.23,"0.650 (0.629, 0.707)","0.825 (0.825, 0.834)","0.393 (0.353, 0.485)","0.835 (0.835, 0.843)","0.051 (0.044, 0.079)",AlloSure
0.24,"0.650 (0.629, 0.707)","0.831 (0.830, 0.838)","0.357 (0.340, 0.475)","0.841 (0.841, 0.848)","0.049 (0.043, 0.081)",AlloSure
0.25,"0.650 (0.629, 0.707)","0.836 (0.835, 0.842)","0.357 (0.340, 0.471)","0.846 (0.845, 0.853)","0.050 (0.043, 0.081)",AlloSure
0.26,"0.650 (0.629, 0.707)","0.841 (0.839, 0.848)","0.357 (0.320, 0.471)","0.852 (0.850, 0.858)","0.052 (0.042, 0.084)",AlloSure
0.27,"0.650 (0.629, 0.707)","0.846 (0.843, 0.849)","0.357 (0.300, 0.441)","0.857 (0.854, 0.860)","0.053 (0.042, 0.080)",AlloSure
0.28,"0.650 (0.629, 0.707)","0.849 (0.848, 0.853)","0.357 (0.300, 0.441)","0.861 (0.859, 0.864)","0.055 (0.042, 0.082)",AlloSure
0.29,"0.650 (0.629, 0.707)","0.854 (0.851, 0.855)","0.339 (0.280, 0.441)","0.866 (0.863, 0.867)","0.054 (0.041, 0.083)",AlloSure
0.3,"0.650 (0.629, 0.707)","0.857 (0.854, 0.858)","0.321 (0.280, 0.426)","0.868 (0.867, 0.870)","0.052 (0.042, 0.084)",AlloSure
0.31,"0.650 (0.629, 0.707)","0.860 (0.857, 0.861)","0.321 (0.280, 0.426)","0.871 (0.870, 0.872)","0.053 (0.043, 0.086)",AlloSure
0.32,"0.650 (0.629, 0.707)","0.863 (0.861, 0.863)","0.321 (0.280, 0.410)","0.875 (0.873, 0.875)","0.055 (0.044, 0.088)",AlloSure
0.33,"0.650 (0.629, 0.707)","0.865 (0.863, 0.866)","0.304 (0.280, 0.410)","0.877 (0.876, 0.879)","0.053 (0.044, 0.088)",AlloSure
0.34,"0.650 (0.629, 0.707)","0.866 (0.866, 0.869)","0.304 (0.260, 0.410)","0.879 (0.878, 0.881)","0.054 (0.044, 0.090)",AlloSure
0.35000000000000003,"0.650 (0.629, 0.707)","0.869 (0.869, 0.870)","0.304 (0.260, 0.393)","0.882 (0.882, 0.882)","0.055 (0.045, 0.088)",AlloSure
0.36,"0.650 (0.629, 0.707)","0.872 (0.872, 0.872)","0.286 (0.260, 0.393)","0.885 (0.885, 0.885)","0.053 (0.046, 0.090)",AlloSure
0.37,"0.650 (0.629, 0.707)","0.875 (0.875, 0.877)","0.286 (0.260, 0.393)","0.887 (0.887, 0.890)","0.054 (0.048, 0.092)",AlloSure
0.38,"0.650 (0.629, 0.707)","0.877 (0.875, 0.879)","0.286 (0.260, 0.393)","0.889 (0.888, 0.893)","0.055 (0.049, 0.093)",AlloSure
0.39,"0.650 (0.629, 0.707)","0.879 (0.876, 0.881)","0.286 (0.260, 0.393)","0.891 (0.890, 0.895)","0.056 (0.050, 0.095)",AlloSure
0.4,"0.650 (0.629, 0.707)","0.881 (0.878, 0.882)","0.268 (0.260, 0.393)","0.895 (0.892, 0.896)","0.054 (0.050, 0.094)",AlloSure
0.41000000000000003,"0.650 (0.629, 0.707)","0.883 (0.880, 0.885)","0.268 (0.260, 0.393)","0.896 (0.893, 0.899)","0.054 (0.052, 0.095)",AlloSure
0.42,"0.650 (0.629, 0.707)","0.884 (0.883, 0.888)","0.268 (0.260, 0.393)","0.898 (0.895, 0.901)","0.055 (0.053, 0.096)",AlloSure
0.43,"0.650 (0.629, 0.707)","0.886 (0.885, 0.888)","0.268 (0.260, 0.393)","0.899 (0.899, 0.901)","0.056 (0.053, 0.097)",AlloSure
0.44,"0.650 (0.629, 0.707)","0.888 (0.887, 0.889)","0.268 (0.255, 0.393)","0.902 (0.900, 0.903)","0.057 (0.054, 0.100)",AlloSure
0.45,"0.650 (0.629, 0.707)","0.890 (0.888, 0.890)","0.268 (0.255, 0.361)","0.903 (0.903, 0.904)","0.057 (0.054, 0.094)",AlloSure
0.46,"0.650 (0.629, 0.707)","0.891 (0.890, 0.892)","0.268 (0.255, 0.361)","0.905 (0.904, 0.906)","0.058 (0.055, 0.096)",AlloSure
0.47000000000000003,"0.650 (0.629, 0.707)","0.894 (0.893, 0.894)","0.268 (0.255, 0.353)","0.908 (0.907, 0.908)","0.060 (0.057, 0.096)",AlloSure
0.48,"0.650 (0.629, 0.707)","0.896 (0.894, 0.898)","0.268 (0.255, 0.353)","0.909 (0.909, 0.912)","0.061 (0.059, 0.096)",AlloSure
0.49,"0.650 (0.629, 0.707)","0.896 (0.895, 0.899)","0.268 (0.240, 0.328)","0.910 (0.910, 0.913)","0.062 (0.055, 0.097)",AlloSure
0.5,"0.650 (0.629, 0.707)","0.900 (0.896, 0.900)","0.268 (0.240, 0.328)","0.913 (0.911, 0.914)","0.062 (0.056, 0.098)",AlloSure
0.51,"0.650 (0.629, 0.707)","0.902 (0.897, 0.902)","0.268 (0.240, 0.311)","0.916 (0.913, 0.917)","0.063 (0.057, 0.096)",AlloSure
0.52,"0.650 (0.629, 0.707)","0.904 (0.899, 0.904)","0.268 (0.240, 0.311)","0.917 (0.914, 0.918)","0.065 (0.059, 0.098)",AlloSure
0.53,"0.650 (0.629, 0.707)","0.906 (0.899, 0.906)","0.268 (0.220, 0.279)","0.920 (0.915, 0.921)","0.066 (0.056, 0.095)",AlloSure
0.54,"0.650 (0.629, 0.707)","0.906 (0.900, 0.908)","0.268 (0.220, 0.279)","0.920 (0.916, 0.923)","0.066 (0.057, 0.096)",AlloSure
0.55,"0.650 (0.629, 0.707)","0.909 (0.902, 0.910)","0.268 (0.220, 0.279)","0.923 (0.918, 0.925)","0.067 (0.058, 0.098)",AlloSure
0.56,"0.650 (0.629, 0.707)","0.910 (0.903, 0.911)","0.268 (0.220, 0.279)","0.924 (0.919, 0.926)","0.068 (0.059, 0.099)",AlloSure
