Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.0,"0.580 (0.557, 0.557)","0.066 (0.056, 0.056)","0.956 (0.938, 0.938)","0.049 (0.041, 0.041)","0.020 (0.016, 0.016)",AlloSure
0.01,"0.580 (0.557, 0.557)","0.143 (0.126, 0.126)","0.906 (0.875, 0.875)","0.128 (0.114, 0.114)","0.020 (0.016, 0.016)",AlloSure
0.02,"0.580 (0.557, 0.557)","0.249 (0.222, 0.222)","0.849 (0.815, 0.815)","0.237 (0.211, 0.211)","0.022 (0.018, 0.018)",AlloSure
0.03,"0.580 (0.557, 0.557)","0.358 (0.322, 0.322)","0.786 (0.778, 0.778)","0.349 (0.315, 0.315)","0.024 (0.019, 0.019)",AlloSure
0.04,"0.580 (0.557, 0.557)","0.449 (0.409, 0.409)","0.635 (0.562, 0.562)","0.445 (0.406, 0.406)","0.023 (0.017, 0.017)",AlloSure
0.05,"0.580 (0.557, 0.557)","0.526 (0.491, 0.491)","0.587 (0.500, 0.500)","0.525 (0.491, 0.491)","0.024 (0.019, 0.019)",AlloSure
0.06,"0.580 (0.557, 0.557)","0.589 (0.560, 0.560)","0.489 (0.481, 0.481)","0.591 (0.560, 0.560)","0.024 (0.018, 0.018)",AlloSure
0.07,"0.580 (0.557, 0.557)","0.640 (0.610, 0.610)","0.481 (0.444, 0.444)","0.644 (0.612, 0.612)","0.027 (0.021, 0.021)",AlloSure
0.08,"0.580 (0.557, 0.557)","0.689 (0.666, 0.666)","0.406 (0.407, 0.407)","0.695 (0.669, 0.669)","0.026 (0.021, 0.021)",AlloSure
0.09,"0.580 (0.557, 0.557)","0.728 (0.710, 0.710)","0.373 (0.375, 0.375)","0.735 (0.716, 0.716)","0.028 (0.021, 0.021)",AlloSure
0.1,"0.580 (0.557, 0.557)","0.756 (0.742, 0.742)","0.344 (0.333, 0.333)","0.765 (0.747, 0.747)","0.029 (0.024, 0.024)",AlloSure
0.11,"0.580 (0.557, 0.557)","0.777 (0.765, 0.765)","0.337 (0.296, 0.296)","0.786 (0.770, 0.770)","0.031 (0.026, 0.026)",AlloSure
0.12,"0.580 (0.557, 0.557)","0.799 (0.787, 0.787)","0.314 (0.286, 0.286)","0.809 (0.794, 0.794)","0.032 (0.029, 0.029)",AlloSure
0.13,"0.580 (0.557, 0.557)","0.815 (0.800, 0.800)","0.302 (0.286, 0.286)","0.826 (0.807, 0.807)","0.034 (0.028, 0.028)",AlloSure
0.14,"0.580 (0.557, 0.557)","0.828 (0.821, 0.821)","0.282 (0.259, 0.259)","0.839 (0.828, 0.828)","0.034 (0.027, 0.027)",AlloSure
