Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.15,"0.673 (0.638, 0.638)","0.717 (0.701, 0.701)","0.523 (0.435, 0.435)","0.723 (0.703, 0.703)","0.067 (0.063, 0.063)",AlloSure
0.16,"0.673 (0.638, 0.638)","0.730 (0.718, 0.718)","0.523 (0.435, 0.435)","0.737 (0.721, 0.721)","0.071 (0.065, 0.065)",AlloSure
0.17,"0.673 (0.638, 0.638)","0.739 (0.730, 0.730)","0.514 (0.435, 0.435)","0.746 (0.735, 0.735)","0.072 (0.066, 0.066)",AlloSure
0.18,"0.673 (0.638, 0.638)","0.749 (0.738, 0.738)","0.506 (0.435, 0.435)","0.757 (0.750, 0.750)","0.074 (0.067, 0.067)",AlloSure
0.19,"0.673 (0.638, 0.638)","0.758 (0.747, 0.747)","0.489 (0.391, 0.391)","0.767 (0.762, 0.762)","0.075 (0.063, 0.063)",AlloSure
0.2,"0.673 (0.638, 0.638)","0.770 (0.757, 0.757)","0.489 (0.391, 0.391)","0.780 (0.772, 0.772)","0.079 (0.066, 0.066)",AlloSure
0.21,"0.673 (0.638, 0.638)","0.777 (0.764, 0.764)","0.458 (0.391, 0.391)","0.788 (0.779, 0.779)","0.078 (0.068, 0.068)",AlloSure
0.22,"0.673 (0.638, 0.638)","0.780 (0.771, 0.771)","0.451 (0.391, 0.391)","0.792 (0.786, 0.786)","0.078 (0.067, 0.067)",AlloSure
0.23,"0.673 (0.638, 0.638)","0.787 (0.779, 0.779)","0.451 (0.391, 0.391)","0.800 (0.795, 0.795)","0.081 (0.068, 0.068)",AlloSure
0.24,"0.673 (0.638, 0.638)","0.793 (0.786, 0.786)","0.451 (0.391, 0.391)","0.805 (0.802, 0.802)","0.084 (0.069, 0.069)",AlloSure
0.25,"0.673 (0.638, 0.638)","0.798 (0.788, 0.788)","0.451 (0.391, 0.391)","0.811 (0.804, 0.804)","0.086 (0.071, 0.071)",AlloSure
0.26,"0.673 (0.638, 0.638)","0.804 (0.793, 0.793)","0.442 (0.348, 0.348)","0.817 (0.811, 0.811)","0.087 (0.070, 0.070)",AlloSure
0.27,"0.673 (0.638, 0.638)","0.808 (0.797, 0.797)","0.431 (0.348, 0.348)","0.822 (0.815, 0.815)","0.087 (0.071, 0.071)",AlloSure
0.28,"0.673 (0.638, 0.638)","0.813 (0.797, 0.797)","0.431 (0.348, 0.348)","0.826 (0.815, 0.815)","0.089 (0.071, 0.071)",AlloSure
0.29,"0.673 (0.638, 0.638)","0.816 (0.802, 0.802)","0.419 (0.348, 0.348)","0.830 (0.820, 0.820)","0.089 (0.073, 0.073)",AlloSure
0.3,"0.673 (0.638, 0.638)","0.818 (0.805, 0.805)","0.402 (0.348, 0.348)","0.833 (0.824, 0.824)","0.087 (0.075, 0.075)",AlloSure
0.31,"0.673 (0.638, 0.638)","0.821 (0.807, 0.807)","0.402 (0.348, 0.348)","0.836 (0.826, 0.826)","0.088 (0.075, 0.075)",AlloSure
0.32,"0.673 (0.638, 0.638)","0.825 (0.810, 0.810)","0.394 (0.348, 0.348)","0.841 (0.829, 0.829)","0.090 (0.077, 0.077)",AlloSure
0.33,"0.673 (0.638, 0.638)","0.830 (0.817, 0.817)","0.394 (0.348, 0.348)","0.846 (0.836, 0.836)","0.092 (0.080, 0.080)",AlloSure
0.34,"0.673 (0.638, 0.638)","0.833 (0.822, 0.822)","0.394 (0.348, 0.348)","0.849 (0.842, 0.842)","0.094 (0.082, 0.082)",AlloSure
0.35000000000000003,"0.673 (0.638, 0.638)","0.835 (0.824, 0.824)","0.385 (0.348, 0.348)","0.851 (0.843, 0.843)","0.093 (0.083, 0.083)",AlloSure
0.36,"0.673 (0.638, 0.638)","0.837 (0.826, 0.826)","0.385 (0.348, 0.348)","0.853 (0.845, 0.845)","0.094 (0.084, 0.084)",AlloSure
0.37,"0.673 (0.638, 0.638)","0.840 (0.827, 0.827)","0.385 (0.348, 0.348)","0.856 (0.847, 0.847)","0.096 (0.085, 0.085)",AlloSure
0.38,"0.673 (0.638, 0.638)","0.841 (0.829, 0.829)","0.385 (0.348, 0.348)","0.858 (0.849, 0.849)","0.098 (0.086, 0.086)",AlloSure
0.39,"0.673 (0.638, 0.638)","0.844 (0.831, 0.831)","0.385 (0.348, 0.348)","0.861 (0.851, 0.851)","0.100 (0.087, 0.087)",AlloSure
0.4,"0.673 (0.638, 0.638)","0.845 (0.832, 0.832)","0.377 (0.348, 0.348)","0.862 (0.852, 0.852)","0.099 (0.088, 0.088)",AlloSure
0.41000000000000003,"0.673 (0.638, 0.638)","0.848 (0.836, 0.836)","0.377 (0.348, 0.348)","0.865 (0.856, 0.856)","0.101 (0.090, 0.090)",AlloSure
0.42,"0.673 (0.638, 0.638)","0.849 (0.836, 0.836)","0.377 (0.348, 0.348)","0.866 (0.856, 0.856)","0.102 (0.090, 0.090)",AlloSure
0.43,"0.673 (0.638, 0.638)","0.851 (0.841, 0.841)","0.377 (0.348, 0.348)","0.868 (0.861, 0.861)","0.104 (0.093, 0.093)",AlloSure
