Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.47000000000000003,"0.668 (0.693, 0.693)","0.865 (0.860, 0.860)","0.323 (0.273, 0.273)","0.883 (0.878, 0.878)","0.090 (0.051, 0.051)",AlloSure
0.48,"0.668 (0.693, 0.693)","0.867 (0.862, 0.862)","0.323 (0.273, 0.273)","0.886 (0.881, 0.881)","0.091 (0.051, 0.051)",AlloSure
0.49,"0.668 (0.693, 0.693)","0.867 (0.862, 0.862)","0.316 (0.273, 0.273)","0.886 (0.881, 0.881)","0.090 (0.052, 0.052)",AlloSure
0.5,"0.668 (0.693, 0.693)","0.869 (0.862, 0.862)","0.316 (0.273, 0.273)","0.888 (0.881, 0.881)","0.091 (0.052, 0.052)",AlloSure
0.51,"0.668 (0.693, 0.693)","0.870 (0.860, 0.860)","0.305 (0.273, 0.273)","0.890 (0.881, 0.881)","0.089 (0.052, 0.052)",AlloSure
0.52,"0.668 (0.693, 0.693)","0.872 (0.860, 0.860)","0.299 (0.273, 0.273)","0.892 (0.882, 0.882)","0.089 (0.055, 0.055)",AlloSure
0.53,"0.668 (0.693, 0.693)","0.874 (0.861, 0.861)","0.280 (0.273, 0.273)","0.894 (0.885, 0.885)","0.084 (0.056, 0.056)",AlloSure
0.54,"0.668 (0.693, 0.693)","0.876 (0.866, 0.866)","0.271 (0.227, 0.227)","0.896 (0.890, 0.890)","0.084 (0.047, 0.047)",AlloSure
0.55,"0.668 (0.693, 0.693)","0.878 (0.868, 0.868)","0.261 (0.227, 0.227)","0.899 (0.892, 0.892)","0.084 (0.050, 0.050)",AlloSure
0.56,"0.668 (0.693, 0.693)","0.880 (0.869, 0.869)","0.261 (0.227, 0.227)","0.901 (0.893, 0.893)","0.084 (0.052, 0.052)",AlloSure
0.5700000000000001,"0.668 (0.693, 0.693)","0.881 (0.869, 0.869)","0.261 (0.227, 0.227)","0.902 (0.893, 0.893)","0.086 (0.052, 0.052)",AlloSure
0.58,"0.668 (0.693, 0.693)","0.882 (0.871, 0.871)","0.261 (0.227, 0.227)","0.903 (0.895, 0.895)","0.087 (0.053, 0.053)",AlloSure
0.59,"0.668 (0.693, 0.693)","0.883 (0.872, 0.872)","0.252 (0.227, 0.227)","0.904 (0.896, 0.896)","0.086 (0.053, 0.053)",AlloSure
0.6,"0.668 (0.693, 0.693)","0.884 (0.872, 0.872)","0.252 (0.227, 0.227)","0.906 (0.896, 0.896)","0.087 (0.054, 0.054)",AlloSure
