Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.5700000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.58,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.59,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.6,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.61,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.62,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.63,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.64,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.65,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.66,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.67,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.68,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.6900000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.7000000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.71,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.72,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.73,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.74,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.75,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.76,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.77,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.78,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.79,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.8,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.81,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.8200000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.8300000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.84,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.85,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.86,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.87,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.88,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.89,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.9,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.91,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.92,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.93,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.9400000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.9500000000000001,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.96,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.97,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.98,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.99,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
1.0,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
1.01,"0.602 (0.595, 0.595)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.602,0.979,0.0,1.0,0.0
0.0,"0.664 (0.643, 0.643)","0.021 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.021 (0.019, 0.019)",Logistic Regression w/ rej,0.664,0.021,1.0,0.0,0.021
0.01,"0.664 (0.643, 0.643)","0.169 (0.169, 0.169)","0.862 (0.857, 0.857)","0.152 (0.151, 0.151)","0.023 (0.020, 0.020)",Logistic Regression w/ rej,0.664,0.169,0.862,0.152,0.023
0.02,"0.664 (0.643, 0.643)","0.207 (0.206, 0.206)","0.818 (0.812, 0.812)","0.193 (0.191, 0.191)","0.022 (0.021, 0.021)",Logistic Regression w/ rej,0.664,0.207,0.818,0.193,0.022
0.03,"0.664 (0.643, 0.643)","0.942 (0.942, 0.942)","0.271 (0.244, 0.244)","0.957 (0.956, 0.956)","0.121 (0.104, 0.104)",Logistic Regression w/ rej,0.664,0.942,0.271,0.957,0.121
0.04,"0.664 (0.643, 0.643)","0.955 (0.955, 0.955)","0.250 (0.200, 0.200)","0.972 (0.970, 0.970)","0.156 (0.123, 0.123)",Logistic Regression w/ rej,0.664,0.955,0.25,0.972,0.156
0.05,"0.664 (0.643, 0.643)","0.960 (0.958, 0.958)","0.250 (0.178, 0.178)","0.975 (0.975, 0.975)","0.171 (0.136, 0.136)",Logistic Regression w/ rej,0.664,0.96,0.25,0.975,0.171
0.06,"0.664 (0.643, 0.643)","0.963 (0.961, 0.961)","0.229 (0.178, 0.178)","0.979 (0.978, 0.978)","0.196 (0.140, 0.140)",Logistic Regression w/ rej,0.664,0.963,0.229,0.979,0.196
0.07,"0.664 (0.643, 0.643)","0.972 (0.972, 0.972)","0.083 (0.024, 0.024)","0.991 (0.991, 0.991)","0.160 (0.056, 0.056)",Logistic Regression w/ rej,0.664,0.972,0.083,0.991,0.16
0.08,"0.664 (0.643, 0.643)","0.974 (0.974, 0.974)","0.034 (0.024, 0.024)","0.995 (0.994, 0.994)","0.200 (0.059, 0.059)",Logistic Regression w/ rej,0.664,0.974,0.034,0.995,0.2
0.09,"0.664 (0.643, 0.643)","0.975 (0.975, 0.975)","0.024 (0.017, 0.017)","0.996 (0.996, 0.996)","0.111 (0.067, 0.067)",Logistic Regression w/ rej,0.664,0.975,0.024,0.996,0.111
0.1,"0.664 (0.643, 0.643)","0.976 (0.975, 0.975)","0.021 (0.017, 0.017)","0.997 (0.996, 0.996)","0.111 (0.077, 0.077)",Logistic Regression w/ rej,0.664,0.976,0.021,0.997,0.111
0.11,"0.664 (0.643, 0.643)","0.976 (0.975, 0.975)","0.021 (0.017, 0.017)","0.997 (0.997, 0.997)","0.143 (0.091, 0.091)",Logistic Regression w/ rej,0.664,0.976,0.021,0.997,0.143
0.12,"0.664 (0.643, 0.643)","0.977 (0.976, 0.976)","0.021 (0.017, 0.017)","0.998 (0.997, 0.997)","0.167 (0.111, 0.111)",Logistic Regression w/ rej,0.664,0.977,0.021,0.998,0.167
0.13,"0.664 (0.643, 0.643)","0.977 (0.976, 0.976)","0.017 (0.000, 0.000)","0.998 (0.998, 0.998)","0.167 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.977,0.017,0.998,0.167
0.14,"0.664 (0.643, 0.643)","0.977 (0.976, 0.976)","0.017 (0.000, 0.000)","0.998 (0.998, 0.998)","0.167 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.977,0.017,0.998,0.167
0.15,"0.664 (0.643, 0.643)","0.977 (0.976, 0.976)","0.017 (0.000, 0.000)","0.998 (0.998, 0.998)","0.200 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.977,0.017,0.998,0.2
0.16,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.017,0.999,0.25
0.17,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.017,0.999,0.25
0.18,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.017,0.999,0.25
0.19,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.2,"0.664 (0.643, 0.643)","0.979 (0.977, 0.977)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.21,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.22,"0.664 (0.643, 0.643)","0.979 (0.977, 0.977)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.23,"0.664 (0.643, 0.643)","0.979 (0.977, 0.977)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.24,"0.664 (0.643, 0.643)","0.979 (0.977, 0.977)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.25,"0.664 (0.643, 0.643)","0.979 (0.977, 0.977)","0.017 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.017,0.999,0.333
0.26,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.27,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.28,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.29,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.3,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.31,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.32,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.33,"0.664 (0.643, 0.643)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.978,0.0,1.0,0.0
0.34,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.35000000000000003,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.36,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.37,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.38,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.39,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.4,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.41000000000000003,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.42,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.43,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.44,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.45,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.46,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.47000000000000003,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.48,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.49,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.5,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.51,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.52,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.53,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.54,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.55,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.56,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.5700000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.58,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.59,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.6,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.61,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.62,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.63,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.64,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.65,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.66,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.67,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.68,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.6900000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.7000000000000001,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.71,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.72,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.73,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.74,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.75,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.76,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.77,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
0.78,"0.664 (0.643, 0.643)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.664,0.979,0.0,1.0,0.0
