Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.15,"0.659 (0.614, 0.614)","0.773 (0.760, 0.760)","0.480 (0.492, 0.492)","0.779 (0.767, 0.767)","0.045 (0.034, 0.034)",AlloSure
0.16,"0.659 (0.614, 0.614)","0.785 (0.773, 0.773)","0.477 (0.483, 0.483)","0.792 (0.780, 0.780)","0.047 (0.036, 0.036)",AlloSure
0.17,"0.659 (0.614, 0.614)","0.795 (0.784, 0.784)","0.459 (0.414, 0.414)","0.802 (0.791, 0.791)","0.048 (0.038, 0.038)",AlloSure
0.18,"0.659 (0.614, 0.614)","0.805 (0.794, 0.794)","0.435 (0.397, 0.397)","0.813 (0.802, 0.802)","0.048 (0.038, 0.038)",AlloSure
0.19,"0.659 (0.614, 0.614)","0.814 (0.805, 0.805)","0.428 (0.397, 0.397)","0.822 (0.814, 0.814)","0.050 (0.040, 0.040)",AlloSure
0.2,"0.659 (0.614, 0.614)","0.823 (0.816, 0.816)","0.423 (0.397, 0.397)","0.831 (0.825, 0.825)","0.052 (0.042, 0.042)",AlloSure
0.21,"0.659 (0.614, 0.614)","0.829 (0.824, 0.824)","0.392 (0.362, 0.362)","0.838 (0.835, 0.835)","0.050 (0.036, 0.036)",AlloSure
0.22,"0.659 (0.614, 0.614)","0.833 (0.828, 0.828)","0.369 (0.362, 0.362)","0.844 (0.840, 0.840)","0.049 (0.037, 0.037)",AlloSure
0.23,"0.659 (0.614, 0.614)","0.840 (0.836, 0.836)","0.362 (0.354, 0.354)","0.851 (0.848, 0.848)","0.050 (0.039, 0.039)",AlloSure
0.24,"0.659 (0.614, 0.614)","0.845 (0.841, 0.841)","0.353 (0.345, 0.345)","0.856 (0.854, 0.854)","0.051 (0.038, 0.038)",AlloSure
0.25,"0.659 (0.614, 0.614)","0.849 (0.846, 0.846)","0.349 (0.345, 0.345)","0.860 (0.857, 0.857)","0.052 (0.039, 0.039)",AlloSure
0.26,"0.659 (0.614, 0.614)","0.854 (0.851, 0.851)","0.345 (0.345, 0.345)","0.865 (0.862, 0.862)","0.053 (0.040, 0.040)",AlloSure
0.27,"0.659 (0.614, 0.614)","0.858 (0.853, 0.853)","0.333 (0.328, 0.328)","0.869 (0.866, 0.866)","0.053 (0.041, 0.041)",AlloSure
0.28,"0.659 (0.614, 0.614)","0.861 (0.855, 0.855)","0.324 (0.328, 0.328)","0.873 (0.868, 0.868)","0.053 (0.040, 0.040)",AlloSure
0.29,"0.659 (0.614, 0.614)","0.864 (0.857, 0.857)","0.317 (0.323, 0.323)","0.876 (0.871, 0.871)","0.053 (0.042, 0.042)",AlloSure
0.3,"0.659 (0.614, 0.614)","0.867 (0.860, 0.860)","0.311 (0.293, 0.293)","0.879 (0.874, 0.874)","0.053 (0.043, 0.043)",AlloSure
0.31,"0.659 (0.614, 0.614)","0.870 (0.864, 0.864)","0.311 (0.293, 0.293)","0.882 (0.878, 0.878)","0.054 (0.044, 0.044)",AlloSure
0.32,"0.659 (0.614, 0.614)","0.872 (0.866, 0.866)","0.306 (0.293, 0.293)","0.884 (0.880, 0.880)","0.055 (0.042, 0.042)",AlloSure
0.33,"0.659 (0.614, 0.614)","0.875 (0.868, 0.868)","0.303 (0.293, 0.293)","0.888 (0.883, 0.883)","0.056 (0.043, 0.043)",AlloSure
0.34,"0.659 (0.614, 0.614)","0.878 (0.871, 0.871)","0.299 (0.292, 0.292)","0.891 (0.886, 0.886)","0.057 (0.044, 0.044)",AlloSure
0.35000000000000003,"0.659 (0.614, 0.614)","0.880 (0.873, 0.873)","0.291 (0.277, 0.277)","0.893 (0.888, 0.888)","0.057 (0.042, 0.042)",AlloSure
0.36,"0.659 (0.614, 0.614)","0.883 (0.877, 0.877)","0.287 (0.277, 0.277)","0.896 (0.891, 0.891)","0.057 (0.043, 0.043)",AlloSure
0.37,"0.659 (0.614, 0.614)","0.886 (0.879, 0.879)","0.287 (0.277, 0.277)","0.899 (0.893, 0.893)","0.059 (0.044, 0.044)",AlloSure
0.38,"0.659 (0.614, 0.614)","0.887 (0.879, 0.879)","0.287 (0.277, 0.277)","0.900 (0.895, 0.895)","0.060 (0.045, 0.045)",AlloSure
0.39,"0.659 (0.614, 0.614)","0.890 (0.882, 0.882)","0.287 (0.277, 0.277)","0.903 (0.898, 0.898)","0.061 (0.046, 0.046)",AlloSure
0.4,"0.659 (0.614, 0.614)","0.891 (0.884, 0.884)","0.279 (0.276, 0.276)","0.905 (0.900, 0.900)","0.061 (0.043, 0.043)",AlloSure
0.41000000000000003,"0.659 (0.614, 0.614)","0.893 (0.886, 0.886)","0.279 (0.276, 0.276)","0.906 (0.902, 0.902)","0.061 (0.044, 0.044)",AlloSure
0.42,"0.659 (0.614, 0.614)","0.895 (0.888, 0.888)","0.279 (0.276, 0.276)","0.908 (0.904, 0.904)","0.063 (0.045, 0.045)",AlloSure
0.43,"0.659 (0.614, 0.614)","0.896 (0.890, 0.890)","0.279 (0.276, 0.276)","0.910 (0.904, 0.904)","0.064 (0.046, 0.046)",AlloSure
0.44,"0.659 (0.614, 0.614)","0.898 (0.891, 0.891)","0.274 (0.275, 0.275)","0.911 (0.905, 0.905)","0.064 (0.043, 0.043)",AlloSure
0.45,"0.659 (0.614, 0.614)","0.899 (0.892, 0.892)","0.256 (0.241, 0.241)","0.913 (0.905, 0.905)","0.061 (0.043, 0.043)",AlloSure
0.46,"0.659 (0.614, 0.614)","0.901 (0.893, 0.893)","0.256 (0.241, 0.241)","0.915 (0.906, 0.906)","0.063 (0.044, 0.044)",AlloSure
0.47000000000000003,"0.659 (0.614, 0.614)","0.903 (0.895, 0.895)","0.251 (0.241, 0.241)","0.917 (0.909, 0.909)","0.063 (0.042, 0.042)",AlloSure
0.48,"0.659 (0.614, 0.614)","0.905 (0.897, 0.897)","0.251 (0.241, 0.241)","0.919 (0.911, 0.911)","0.064 (0.042, 0.042)",AlloSure
